SampleID	Location	Material	Moisture	Tp	Treatment	Material_Moisture	Material_Location	Moisture_Loaction	Material_Moisture_Location_Timepoint	Material_Moisture_Location	Description	Gypsum	MDF	MF.Gypsum	Plywood	Wet	Timepoint	Location_1	Location_2	Control
control.Gypsum.dry.TP0	control	Gypsum	dry	0	REG	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_0	Gypsum_dry_control	control.Gypsum.dry.TP0	1	0	0	0	0	0	0	0	1
control.Gypsum.dry.TP0.DUP	control	Gypsum	dry	0	DUP	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_0	Gypsum_dry_control	control.Gypsum.dry.TP0.DUP	1	0	0	0	0	0	0	0	1
control.Gypsum.dry.TP1	control	Gypsum	dry	1	REG	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_1	Gypsum_dry_control	control.Gypsum.dry.TP1	1	0	0	0	0	1	0	0	1
control.Gypsum.dry.TP1.RE	control	Gypsum	dry	1	RE	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_1	Gypsum_dry_control	control.Gypsum.dry.TP1.RE	1	0	0	0	0	1	0	0	1
control.Gypsum.dry.TP1.RE.DUP	control	Gypsum	dry	1	RE.DUP	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_1	Gypsum_dry_control	control.Gypsum.dry.TP1.RE.DUP	1	0	0	0	0	1	0	0	1
control.Gypsum.dry.TP2	control	Gypsum	dry	2	REG	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_2	Gypsum_dry_control	control.Gypsum.dry.TP2	1	0	0	0	0	2	0	0	1
control.Gypsum.dry.TP2.DUP	control	Gypsum	dry	2	DUP	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_2	Gypsum_dry_control	control.Gypsum.dry.TP2.DUP	1	0	0	0	0	2	0	0	1
control.Gypsum.dry.TP2.RE	control	Gypsum	dry	2	RE	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_2	Gypsum_dry_control	control.Gypsum.dry.TP2.RE	1	0	0	0	0	2	0	0	1
control.Gypsum.dry.TP2.RE.DUP	control	Gypsum	dry	2	RE.DUP	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_2	Gypsum_dry_control	control.Gypsum.dry.TP2.RE.DUP	1	0	0	0	0	2	0	0	1
control.Gypsum.dry.TP3.RE	control	Gypsum	dry	3	RE	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_3	Gypsum_dry_control	control.Gypsum.dry.TP3.RE	1	0	0	0	0	3	0	0	1
control.Gypsum.dry.TP3.RE.DUP	control	Gypsum	dry	3	RE.DUP	Gypsum_dry	Gypsum_control	dry_control	Gypsum_dry_control_3	Gypsum_dry_control	control.Gypsum.dry.TP3.RE.DUP	1	0	0	0	0	3	0	0	1
control.Gypsum.wet.TP0	control	Gypsum	wet	0	REG	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_0	Gypsum_wet_control	control.Gypsum.wet.TP0	1	0	0	0	1	0	0	0	1
control.Gypsum.wet.TP0.DUP	control	Gypsum	wet	0	DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_0	Gypsum_wet_control	control.Gypsum.wet.TP0.DUP	1	0	0	0	1	0	0	0	1
control.Gypsum.wet.TP1	control	Gypsum	wet	1	REG	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_1	Gypsum_wet_control	control.Gypsum.wet.TP1	1	0	0	0	1	1	0	0	1
control.Gypsum.wet.TP1.RE	control	Gypsum	wet	1	RE	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_1	Gypsum_wet_control	control.Gypsum.wet.TP1.RE	1	0	0	0	1	1	0	0	1
control.Gypsum.wet.TP1.RE.DUP	control	Gypsum	wet	1	RE.DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_1	Gypsum_wet_control	control.Gypsum.wet.TP1.RE.DUP	1	0	0	0	1	1	0	0	1
control.Gypsum.wet.TP2	control	Gypsum	wet	2	REG	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_2	Gypsum_wet_control	control.Gypsum.wet.TP2	1	0	0	0	1	2	0	0	1
control.Gypsum.wet.TP2.DUP	control	Gypsum	wet	2	DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_2	Gypsum_wet_control	control.Gypsum.wet.TP2.DUP	1	0	0	0	1	2	0	0	1
control.Gypsum.wet.TP2.RE	control	Gypsum	wet	2	RE	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_2	Gypsum_wet_control	control.Gypsum.wet.TP2.RE	1	0	0	0	1	2	0	0	1
control.Gypsum.wet.TP2.RE.DUP	control	Gypsum	wet	2	RE.DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_2	Gypsum_wet_control	control.Gypsum.wet.TP2.RE.DUP	1	0	0	0	1	2	0	0	1
control.Gypsum.wet.TP3	control	Gypsum	wet	3	REG	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_3	Gypsum_wet_control	control.Gypsum.wet.TP3	1	0	0	0	1	3	0	0	1
control.Gypsum.wet.TP3.RE	control	Gypsum	wet	3	RE	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_3	Gypsum_wet_control	control.Gypsum.wet.TP3.RE	1	0	0	0	1	3	0	0	1
