Metabolomics_ID	Mapping_ID
Sloan.1.21	loc2.MF.Gypsum.dry.TP0
Sloan.1.22	loc2.Plywood.dry.TP0
Sloan.1.23	loc2.MDF.dry.TP0
Sloan.1.24	loc2.Gypsum.dry.TP0
Sloan.2.17	loc2.MF.Gypsum.dry.TP1
Sloan.2.18	loc2.Plywood.dry.TP1
Sloan.2.19	loc2.MDF.dry.TP1
Sloan.2.20	loc2.Gypsum.dry.TP1
Sloan.3.17	loc2.MF.Gypsum.dry.TP2
Sloan.3.18	loc2.Plywood.dry.TP2
Sloan.3.19	loc2.MDF.dry.TP2
Sloan.3.20	loc2.Gypsum.dry.TP2
Sloan.4.17	loc2.MF.Gypsum.dry.TP3
Sloan.4.18	loc2.Plywood.dry.TP3
Sloan.4.19	loc2.MDF.dry.TP3
Sloan.4.20	loc2.Gypsum.dry.TP3
Sloan.5.17	loc2.MF.Gypsum.dry.TP4
Sloan.5.18	loc2.Plywood.dry.TP4
Sloan.5.19	loc2.MDF.dry.TP4
Sloan.5.20	loc2.Gypsum.dry.TP4
Sloan.6.17	loc2.MF.Gypsum.dry.TP5
Sloan.6.18	loc2.Plywood.dry.TP5
Sloan.6.19	loc2.MDF.dry.TP5
Sloan.6.20	loc2.Gypsum.dry.TP5
Sloan.7.17	loc2.MF.Gypsum.dry.TP6
Sloan.7.18	loc2.Plywood.dry.TP6
Sloan.7.19	loc2.MDF.dry.TP6
Sloan.7.20	loc2.Gypsum.dry.TP6
Sloan.3.1	control.MF.Gypsum.dry.TP2
Sloan.5.1	control.MF.Gypsum.dry.TP4
Sloan.6.1	control.MF.Gypsum.dry.TP5
Sloan.7.1	control.MF.Gypsum.dry.TP6
Sloan.2.1	control.MF.Gypsum.dry.TP1
Sloan.2.2	control.Plywood.dry.TP1
Sloan.4.1	control.MF.Gypsum.dry.TP3
Sloan.4.2	control.Plywood.dry.TP3
Sloan.2.9	loc1.MF.Gypsum.dry.TP1
Sloan.2.12	loc1.Gypsum.dry.TP1
Sloan.4.9	loc1.MF.Gypsum.dry.TP3
Sloan.4.12	loc1.Gypsum.dry.TP3
Sloan.5.9	loc1.MF.Gypsum.dry.TP4
Sloan.6.9	loc1.MF.Gypsum.dry.TP5
Sloan.7.9	loc1.MF.Gypsum.dry.TP6
Sloan.3.9	loc1.MF.Gypsum.dry.TP2
Sloan.2.4	control.Gypsum.dry.TP1
Sloan.4.4	control.Gypsum.dry.TP3
Sloan.5.2	control.Plywood.dry.TP4
Sloan.6.2	control.Plywood.dry.TP5
Sloan.7.2	control.Plywood.dry.TP6
Sloan.2.10	loc1.Plywood.dry.TP1
Sloan.3.12	loc1.Gypsum.dry.TP2
Sloan.5.12	loc1.Gypsum.dry.TP4
Sloan.6.12	loc1.Gypsum.dry.TP5
Sloan.7.12	loc1.Gypsum.dry.TP6
Sloan.4.10	loc1.Plywood.dry.TP3
Sloan.3.2	control.Plywood.dry.TP2
Sloan.5.4	control.Gypsum.dry.TP4
Sloan.6.4	control.Gypsum.dry.TP5
Sloan.7.4	control.Gypsum.dry.TP6
Sloan.5.10	loc1.Plywood.dry.TP4
Sloan.6.10	loc1.Plywood.dry.TP5
Sloan.7.10	loc1.Plywood.dry.TP6
Sloan.3.4	control.Gypsum.dry.TP2
Sloan.3.10	loc1.Plywood.dry.TP2
Sloan.2.3	control.MDF.dry.TP1
Sloan.4.3	control.MDF.dry.TP3
Sloan.1.13	loc1.MF.Gypsum.dry.TP0
Sloan.2.11	loc1.MDF.dry.TP1
Sloan.4.11	loc1.MDF.dry.TP3
Sloan.5.11	loc1.MDF.dry.TP4
Sloan.6.11	loc1.MDF.dry.TP5
Sloan.7.11	loc1.MDF.dry.TP6
Sloan.3.11	loc1.MDF.dry.TP2
Sloan.1.5	control.MF.Gypsum.dry.TP0
Sloan.5.3	control.MDF.dry.TP4
Sloan.6.3	control.MDF.dry.TP5
Sloan.7.3	control.MDF.dry.TP6
Sloan.1.16	loc1.Gypsum.dry.TP0
Sloan.3.3	control.MDF.dry.TP2
Sloan.1.8	control.Gypsum.dry.TP0
Sloan.1.14	loc1.Plywood.dry.TP0
Sloan.1.6	control.Plywood.dry.TP0
Sloan.1.7	control.MDF.dry.TP0
Sloan.1.15	loc1.MDF.dry.TP0
Sloan.2.21	loc2.MF.Gypsum.wet.TP1
Sloan.2.22	loc2.Plywood.wet.TP1
Sloan.2.23	loc2.MDF.wet.TP1
Sloan.2.24	loc2.Gypsum.wet.TP1
Sloan.3.21	loc2.MF.Gypsum.wet.TP2
Sloan.3.22	loc2.Plywood.wet.TP2
Sloan.3.23	loc2.MDF.wet.TP2
Sloan.3.24	loc2.Gypsum.wet.TP2
Sloan.4.21	loc2.MF.Gypsum.wet.TP3
Sloan.4.22	loc2.Plywood.wet.TP3
Sloan.4.23	loc2.MDF.wet.TP3
Sloan.4.24	loc2.Gypsum.wet.TP3
Sloan.5.21	loc2.MF.Gypsum.wet.TP4
Sloan.5.22	loc2.Plywood.wet.TP4
Sloan.5.23	loc2.MDF.wet.TP4
Sloan.5.24	loc2.Gypsum.wet.TP4
Sloan.6.21	loc2.MF.Gypsum.wet.TP5
Sloan.6.22	loc2.Plywood.wet.TP5
Sloan.6.23	loc2.MDF.wet.TP5
Sloan.6.24	loc2.Gypsum.wet.TP5
Sloan.7.21	loc2.MF.Gypsum.wet.TP6
Sloan.7.22	loc2.Plywood.wet.TP6
Sloan.7.23	loc2.MDF.wet.TP6
Sloan.7.24	loc2.Gypsum.wet.TP6
Sloan.3.13	loc1.MF.Gypsum.wet.TP2
Sloan.5.13	loc1.MF.Gypsum.wet.TP4
Sloan.6.13	loc1.MF.Gypsum.wet.TP5
Sloan.7.13	loc1.MF.Gypsum.wet.TP6
Sloan.2.13	loc1.MF.Gypsum.wet.TP1
Sloan.4.13	loc1.MF.Gypsum.wet.TP3
Sloan.2.5	control.MF.Gypsum.wet.TP1
Sloan.3.5	control.MF.Gypsum.wet.TP2
Sloan.4.5	control.MF.Gypsum.wet.TP3
Sloan.5.5	control.MF.Gypsum.wet.TP4
Sloan.6.5	control.MF.Gypsum.wet.TP5
Sloan.7.5	control.MF.Gypsum.wet.TP6
Sloan.2.16	loc1.Gypsum.wet.TP1
Sloan.4.16	loc1.Gypsum.wet.TP3
Sloan.2.8	control.Gypsum.wet.TP1
Sloan.4.8	control.Gypsum.wet.TP3
Sloan.2.14	loc1.Plywood.wet.TP1
Sloan.4.14	loc1.Plywood.wet.TP3
