,location,material,wet_dry,time,ID
control.Gypsum.dry.TP0,control,Gypsum,dry,TP0,control.Gypsum.dry.TP0
control.Gypsum.dry.TP0.DUP,control,Gypsum,dry,TP0,control.Gypsum.dry.TP0.DUP
control.Gypsum.dry.TP1,control,Gypsum,dry,TP1,control.Gypsum.dry.TP1
control.Gypsum.dry.TP1.RE,control,Gypsum,dry,TP1,control.Gypsum.dry.TP1.RE
control.Gypsum.dry.TP1.RE.DUP,control,Gypsum,dry,TP1,control.Gypsum.dry.TP1.RE.DUP
control.Gypsum.dry.TP2.RE,control,Gypsum,dry,TP2,control.Gypsum.dry.TP2.RE
control.Gypsum.dry.TP2.RE.DUP,control,Gypsum,dry,TP2,control.Gypsum.dry.TP2.RE.DUP
control.Gypsum.dry.TP2.DUP,control,Gypsum,dry,TP2,control.Gypsum.dry.TP2.DUP
control.Gypsum.dry.TP3.RE,control,Gypsum,dry,TP3,control.Gypsum.dry.TP3.RE
control.Gypsum.dry.TP3.RE.DUP,control,Gypsum,dry,TP3,control.Gypsum.dry.TP3.RE.DUP
control.Gypsum.wet.TP0,control,Gypsum,wet,TP0,control.Gypsum.wet.TP0
control.Gypsum.wet.TP0.DUP,control,Gypsum,wet,TP0,control.Gypsum.wet.TP0.DUP
control.Gypsum.wet.TP1,control,Gypsum,wet,TP1,control.Gypsum.wet.TP1
control.Gypsum.wet.TP1.RE,control,Gypsum,wet,TP1,control.Gypsum.wet.TP1.RE
control.Gypsum.wet.TP1.RE.DUP,control,Gypsum,wet,TP1,control.Gypsum.wet.TP1.RE.DUP
control.Gypsum.wet.TP2.RE,control,Gypsum,wet,TP2,control.Gypsum.wet.TP2.RE
control.Gypsum.wet.TP2.RE.DUP,control,Gypsum,wet,TP2,control.Gypsum.wet.TP2.RE.DUP
control.Gypsum.wet.TP2.DUP,control,Gypsum,wet,TP2,control.Gypsum.wet.TP2.DUP
control.Gypsum.dry.TP2,control,Gypsum,dry,TP2,control.Gypsum.dry.TP2
control.Gypsum.wet.TP3,control,Gypsum,wet,TP3,control.Gypsum.wet.TP3
control.Gypsum.wet.TP3.RE,control,Gypsum,wet,TP3,control.Gypsum.wet.TP3.RE
