,location_m,material_m,wet_dry_m,time_m,ID_m
control.MF.Gypsum.dry.TP0,control,MFGypsum,dry,TP0,control.MF.Gypsum.dry.TP0
control.Plywood.dry.TP0,control,Plywood,dry,TP0,control.Plywood.dry.TP0
control.MDF.dry.TP0,control,MDF,dry,TP0,control.MDF.dry.TP0
control.Gypsum.dry.TP0,control,Gypsum,dry,TP0,control.Gypsum.dry.TP0
loc1.MF.Gypsum.dry.TP0,loc1,MFGypsum,dry,TP0,loc1.MF.Gypsum.dry.TP0
loc1.Plywood.dry.TP0,loc1,Plywood,dry,TP0,loc1.Plywood.dry.TP0
loc1.MDF.dry.TP0,loc1,MDF,dry,TP0,loc1.MDF.dry.TP0
loc1.Gypsum.dry.TP0,loc1,Gypsum,dry,TP0,loc1.Gypsum.dry.TP0
loc2.MF.Gypsum.dry.TP0,loc2,MFGypsum,dry,TP0,loc2.MF.Gypsum.dry.TP0
loc2.Plywood.dry.TP0,loc2,Plywood,dry,TP0,loc2.Plywood.dry.TP0
loc2.MDF.dry.TP0,loc2,MDF,dry,TP0,loc2.MDF.dry.TP0
loc2.Gypsum.dry.TP0,loc2,Gypsum,dry,TP0,loc2.Gypsum.dry.TP0
control.MF.Gypsum.dry.TP1,control,MFGypsum,dry,TP1,control.MF.Gypsum.dry.TP1
control.Plywood.dry.TP1,control,Plywood,dry,TP1,control.Plywood.dry.TP1
control.MDF.dry.TP1,control,MDF,dry,TP1,control.MDF.dry.TP1
control.Gypsum.dry.TP1,control,Gypsum,dry,TP1,control.Gypsum.dry.TP1
control.MF.Gypsum.wet.TP1,control,MFGypsum,wet,TP1,control.MF.Gypsum.wet.TP1
control.Plywood.wet.TP1,control,Plywood,wet,TP1,control.Plywood.wet.TP1
control.MDF.wet.TP1,control,MDF,wet,TP1,control.MDF.wet.TP1
control.Gypsum.wet.TP1,control,Gypsum,wet,TP1,control.Gypsum.wet.TP1
loc1.MF.Gypsum.dry.TP1,loc1,MFGypsum,dry,TP1,loc1.MF.Gypsum.dry.TP1
loc1.Plywood.dry.TP1,loc1,Plywood,dry,TP1,loc1.Plywood.dry.TP1
loc1.MDF.dry.TP1,loc1,MDF,dry,TP1,loc1.MDF.dry.TP1
loc1.Gypsum.dry.TP1,loc1,Gypsum,dry,TP1,loc1.Gypsum.dry.TP1
loc1.MF.Gypsum.wet.TP1,loc1,MFGypsum,wet,TP1,loc1.MF.Gypsum.wet.TP1
loc1.Plywood.wet.TP1,loc1,Plywood,wet,TP1,loc1.Plywood.wet.TP1
loc1.MDF.wet.TP1,loc1,MDF,wet,TP1,loc1.MDF.wet.TP1
loc1.Gypsum.wet.TP1,loc1,Gypsum,wet,TP1,loc1.Gypsum.wet.TP1
loc2.MF.Gypsum.dry.TP1,loc2,MFGypsum,dry,TP1,loc2.MF.Gypsum.dry.TP1
loc2.Plywood.dry.TP1,loc2,Plywood,dry,TP1,loc2.Plywood.dry.TP1
loc2.MDF.dry.TP1,loc2,MDF,dry,TP1,loc2.MDF.dry.TP1
loc2.Gypsum.dry.TP1,loc2,Gypsum,dry,TP1,loc2.Gypsum.dry.TP1
loc2.MF.Gypsum.wet.TP1,loc2,MFGypsum,wet,TP1,loc2.MF.Gypsum.wet.TP1
loc2.Plywood.wet.TP1,loc2,Plywood,wet,TP1,loc2.Plywood.wet.TP1
loc2.MDF.wet.TP1,loc2,MDF,wet,TP1,loc2.MDF.wet.TP1
loc2.Gypsum.wet.TP1,loc2,Gypsum,wet,TP1,loc2.Gypsum.wet.TP1
control.MF.Gypsum.dry.TP2,control,MFGypsum,dry,TP2,control.MF.Gypsum.dry.TP2
control.Plywood.dry.TP2,control,Plywood,dry,TP2,control.Plywood.dry.TP2
control.MDF.dry.TP2,control,MDF,dry,TP2,control.MDF.dry.TP2
control.Gypsum.dry.TP2,control,Gypsum,dry,TP2,control.Gypsum.dry.TP2
control.MF.Gypsum.wet.TP2,control,MFGypsum,wet,TP2,control.MF.Gypsum.wet.TP2
control.Plywood.wet.TP2,control,Plywood,wet,TP2,control.Plywood.wet.TP2
control.MDF.wet.TP2,control,MDF,wet,TP2,control.MDF.wet.TP2
control.Gypsum.wet.TP2,control,Gypsum,wet,TP2,control.Gypsum.wet.TP2
loc1.MF.Gypsum.dry.TP2,loc1,MFGypsum,dry,TP2,loc1.MF.Gypsum.dry.TP2
