# Constructed from biom file
#OTU ID	PCR-control	T0D0	T1D2	T1D3	T1R1	T1R10	T1R4	T1R7	T2D4	T2D5	T2D6	T2R1	T2R10	T2R4	T2R5	T2R7	T2R9	T310	T3D7	T3D8	T3D9	T3R1	T3R4	T3R5	T3R7	T3R9	T410	T4D10	T4D11	T4D12	T4R1	T4R4	T4R5	T4R7	T4R9	T5D13	T5D14	T5D15	T5R1	T5R10	T5R4	T5R5	T5R7	T5R9
SH1706366.08FU_KF669440_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	446.0	0.0	4349.0	0.0	0.0	401.0	0.0	0.0	0.0	0.0	162.0	6236.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	58.0	8725.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	2108.0	0.0	0.0	0.0
SH1692789.08FU_DQ645804_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	529.0	165.0	126.0	0.0	2447.0	0.0	0.0	561.0	0.0	1604.0	0.0	47.0	597.0	0.0	0.0	0.0	85.0	0.0	50.0	541.0	0.0	0.0	10.0	0.0	0.0	121.0	0.0	2160.0	28.0	988.0	0.0	105.0	12.0	71.0	61.0	0.0
SH1692847.08FU_AB185279_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1077.0	80.0	0.0	0.0	151.0	0.0	0.0	0.0	18.0	933.0	0.0	0.0	436.0	0.0	0.0	0.0	0.0	0.0	11.0	567.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	132.0	56.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
SH1800526.08FU_JX280771_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3145.0	0.0	0.0	0.0	0.0	0.0	0.0
SH1712306.08FU_GU237794_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	451.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0
SH1800547.08FU_HM365257_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	6.0	1425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.0	0.0	0.0	0.0	0.0
SH1692776.08FU_AF033422_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	72.0	104.0	0.0	0.0	0.0	0.0	275.0	271.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	274.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	8.0	12.0	596.0	0.0	0.0	7.0	7.0	123.0	0.0
SH1729543.08FU_FR682361_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	827.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	33.0	0.0	0.0	0.0	814.0	0.0	0.0	0.0	0.0
SH1694434.08FU_EU037063_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1606.0	0.0	50.0	0.0	0.0	2.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH1692793.08FU_JN617685_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.0	0.0	713.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0
